"","sid","condition","block_index","date","time","trialnum","signal_interval","response_interval","signal","standard","trialdur","regimen","day","correct","foil_label","pretest"
"175","1611","4th",4,"2013-07-16","16:1:53.774",25,1,1,34,48,4.044913,"AP",1,TRUE,"5th",0.691666666666667
"176","1611","4th",4,"2013-07-16","16:1:57.852",26,2,2,33,62,3.767357,"AP",1,TRUE,"6th",0.691666666666667
"177","1611","4th",4,"2013-07-16","16:2:1.649",27,2,2,37,17,4.401539,"AP",1,TRUE,"3rd",0.691666666666667
"178","1611","4th",4,"2013-07-16","16:2:6.086",28,1,1,38,53,4.734769,"AP",1,TRUE,"5th",0.691666666666667
"179","1611","4th",4,"2013-07-16","16:2:10.852",29,1,1,21,41,4.018546,"AP",1,TRUE,"5th",0.691666666666667
"180","1611","4th",4,"2013-07-16","16:2:14.899",30,1,2,22,47,3.863811,"AP",1,FALSE,"5th",0.691666666666667
"181","1611","4th",5,"2013-07-16","16:9:21.893",1,2,2,38,7,3.858847,"AP",1,TRUE,"3rd",0.691666666666667
"182","1611","4th",5,"2013-07-16","16:9:25.815",2,2,1,30,10,3.81875,"AP",1,FALSE,"3rd",0.691666666666667
"183","1611","4th",5,"2013-07-16","16:9:29.674",3,2,2,39,58,3.825676,"AP",1,TRUE,"6th",0.691666666666667
"184","1611","4th",5,"2013-07-16","16:9:33.549",4,1,2,25,63,5.406366,"AP",1,FALSE,"6th",0.691666666666667
"185","1611","4th",5,"2013-07-16","16:9:38.987",5,2,2,36,71,4.134305,"AP",1,TRUE,"6th",0.691666666666667
"186","1611","4th",5,"2013-07-16","16:9:43.159",6,2,2,33,19,4.000537,"AP",1,TRUE,"3rd",0.691666666666667
"187","1611","4th",5,"2013-07-16","16:9:47.190",7,2,1,31,46,4.58529,"AP",1,FALSE,"5th",0.691666666666667
"188","1611","4th",5,"2013-07-16","16:9:51.799",8,1,1,27,47,3.801454,"AP",1,TRUE,"5th",0.691666666666667
"189","1611","4th",5,"2013-07-16","16:9:55.627",9,2,2,30,49,3.718653,"AP",1,TRUE,"5th",0.691666666666667
"190","1611","4th",5,"2013-07-16","16:9:59.377",10,2,2,24,62,3.868219,"AP",1,TRUE,"6th",0.691666666666667
"191","1611","4th",5,"2013-07-16","16:10:3.284",11,2,2,30,6,4.267798,"AP",1,TRUE,"3rd",0.691666666666667
"192","1611","4th",5,"2013-07-16","16:10:7.580",12,1,2,37,2,3.931949,"AP",1,FALSE,"3rd",0.691666666666667
"193","1611","4th",5,"2013-07-16","16:10:11.549",13,2,2,22,65,5.517941,"AP",1,TRUE,"6th",0.691666666666667
"194","1611","4th",5,"2013-07-16","16:10:17.096",14,2,2,35,60,3.834663,"AP",1,TRUE,"6th",0.691666666666667
"195","1611","4th",5,"2013-07-16","16:10:20.971",15,2,2,29,54,5.032227,"AP",1,TRUE,"5th",0.691666666666667
"196","1611","4th",5,"2013-07-16","16:10:26.033",16,1,1,27,45,3.90048,"AP",1,TRUE,"5th",0.691666666666667
"197","1611","4th",5,"2013-07-16","16:10:29.971",17,1,1,39,6,4.068327,"AP",1,TRUE,"3rd",0.691666666666667
"198","1611","4th",5,"2013-07-16","16:10:34.065",18,2,1,27,52,4.633891,"AP",1,FALSE,"5th",0.691666666666667
"199","1611","4th",5,"2013-07-16","16:10:38.736",19,1,1,34,1,4.285643,"AP",1,TRUE,"3rd",0.691666666666667
"200","1611","4th",5,"2013-07-16","16:10:43.049",20,2,2,38,61,4.034163,"AP",1,TRUE,"6th",0.691666666666667
"201","1611","4th",5,"2013-07-16","16:10:47.111",21,1,1,26,3,3.85106,"AP",1,TRUE,"3rd",0.691666666666667
"202","1611","4th",5,"2013-07-16","16:10:51.002",22,2,1,36,56,3.88451,"AP",1,FALSE,"5th",0.691666666666667
"203","1611","4th",5,"2013-07-16","16:10:54.924",23,1,1,22,62,3.934396,"AP",1,TRUE,"6th",0.691666666666667
"204","1611","4th",5,"2013-07-16","16:10:58.893",24,2,2,27,20,4.180623,"AP",1,TRUE,"3rd",0.691666666666667
"205","1611","4th",5,"2013-07-16","16:11:3.096",25,1,1,35,69,4.968363,"AP",1,TRUE,"6th",0.691666666666667
"206","1611","4th",5,"2013-07-16","16:11:8.096",26,2,2,38,58,3.784795,"AP",1,TRUE,"6th",0.691666666666667
